"","feature","Description"
"1","communityname"," Community name - not predictive - for information only (string)"
"2","state"," US state (by 2 letter postal abbreviation)(nominal)"
"3","countyCode"," numeric code for county - not predictive, and many missing values (numeric)"
"4","communityCode"," numeric code for community - not predictive and many missing values (numeric)"
"5","fold"," fold number for non-random 10 fold cross validation, potentially useful for debugging, paired tests - not predictive (numeric - integer)"
"6","population"," population for community"
"7","householdsize"," mean people per household (numeric - decimal)"
"8","racepctblack"," percentage of population that is african american (numeric - decimal)"
"9","racePctWhite"," percentage of population that is caucasian (numeric - decimal)"
"10","racePctAsian"," percentage of population that is of asian heritage (numeric - decimal)"
"11","racePctHisp"," percentage of population that is of hispanic heritage (numeric - decimal)"
"12","agePct12t21"," percentage of population that is 12-21 in age (numeric - decimal)"
"13","agePct12t29"," percentage of population that is 12-29 in age (numeric - decimal)"
"14","agePct16t24"," percentage of population that is 16-24 in age (numeric - decimal)"
"15","agePct65up"," percentage of population that is 65 and over in age (numeric - decimal)"
"16","numbUrban"," number of people living in areas classified as urban (numeric - expected to be integer)"
"17","pctUrban"," percentage of people living in areas classified as urban (numeric - decimal)"
"18","medIncome"," median household income (numeric - may be integer)"
"19","pctWWage"," percentage of households with wage or salary income in 1989 (numeric - decimal)"
"20","pctWFarmSelf"," percentage of households with farm or self employment income in 1989 (numeric - decimal)"
"21","pctWInvInc"," percentage of households with investment / rent income in 1989 (numeric - decimal)"
"22","pctWSocSec"," percentage of households with social security income in 1989 (numeric - decimal)"
"23","pctWPubAsst"," percentage of households with public assistance income in 1989 (numeric - decimal)"
"24","pctWRetire"," percentage of households with retirement income in 1989 (numeric - decimal)"
"25","medFamInc"," median family income (differs from household income for non-family households) (numeric - may be integer)"
"26","perCapInc"," per capita income (numeric - decimal)"
"27","whitePerCap"," per capita income for caucasians (numeric - decimal)"
"28","blackPerCap"," per capita income for african americans (numeric - decimal)"
"29","indianPerCap"," per capita income for native americans (numeric - decimal)"
"30","AsianPerCap"," per capita income for people with asian heritage (numeric - decimal)"
"31","OtherPerCap"," per capita income for people with 'other' heritage (numeric - decimal)"
"32","HispPerCap"," per capita income for people with hispanic heritage (numeric - decimal)"
"33","NumUnderPov"," number of people under the poverty level (numeric - expected to be integer)"
"34","PctPopUnderPov"," percentage of people under the poverty level (numeric - decimal)"
"35","PctLess9thGrade"," percentage of people 25 and over with less than a 9th grade education (numeric - decimal)"
"36","PctNotHSGrad"," percentage of people 25 and over that are not high school graduates (numeric - decimal)"
"37","PctBSorMore"," percentage of people 25 and over with a bachelors degree or higher education (numeric - decimal)"
"38","PctUnemployed"," percentage of people 16 and over, in the labor force, and unemployed (numeric - decimal)"
"39","PctEmploy"," percentage of people 16 and over who are employed (numeric - decimal)"
"40","PctEmplManu"," percentage of people 16 and over who are employed in manufacturing (numeric - decimal)"
"41","PctEmplProfServ"," percentage of people 16 and over who are employed in professional services (numeric - decimal)"
"42","PctOccupManu"," percentage of people 16 and over who are employed in manufacturing (numeric - decimal) #### No longer sure of difference from PctEmplManu - may include unemployed manufacturing workers ####"
"43","PctOccupMgmtProf"," percentage of people 16 and over who are employed in management or professional occupations (numeric - decimal)"
"44","MalePctDivorce"," percentage of males who are divorced (numeric - decimal)"
"45","MalePctNevMarr"," percentage of males who have never married (numeric - decimal)"
"46","FemalePctDiv"," percentage of females who are divorced (numeric - decimal)"
"47","TotalPctDiv"," percentage of population who are divorced (numeric - decimal)"
"48","PersPerFam"," mean number of people per family (numeric - decimal)"
"49","PctFam2Par"," percentage of families (with kids) that are headed by two parents (numeric - decimal)"
